"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"velut","even as, just as","Adverb","Conjunctions/Adverbs","447"
"victōria -ae f.","victory","Noun: 1st Declension","War and Peace","750"
"videō vidēre vīdī vīsum","see","Verb: 2nd Conjugation","Vision","31"
"vincō vincere vīcī victum","conquer","Verb: 3rd Conjugation -ō","War and Peace","101"
"vinculum -ī n.","bond, fetter, tie","Noun: 2nd Declension","War and Peace","594"
"vīnum -ī n.","vine, wine","Noun: 2nd Declension","Animals/Plants","640"
"vir virī m.","man","Noun: 2nd Declension","People","85"
"virgō -inis f.","maiden, virgin, girl","Noun: 3rd Declension","People","418"
"virtūs -ūtis f.","valor, manliness, virtue","Noun: 3rd Declension","Personality Traits/Characteristics","111"
"vīs f.","force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength","Noun: 3rd Declension","War and Peace","115"
"vīta -ae f.","life","Noun: 1st Declension","Life and Being","87"
"vitium -ī n.","flaw, fault, crime","Noun: 2nd Declension","Justice","326"
"vītō -āre","avoid, shun","Verb: 1st Conjugation","Social Life","881"
"vīvō vīvere vīxī vīctum","live","Verb: 3rd Conjugation -ō","Life and Being","156"
"victor -ōris m.","conqueror","Noun: 3rd Declension","War and Peace","340"
"vīcīnus -a -um","neighboring, near","Adjective: 1st and 2nd Declension","Geography","940"
"via -ae f.","way, street","Noun: 1st Declension","Travel","196"
"veniō venīre vēnī ventum","come","Verb: 4th Conjugation","Motion","63"
"ventus -ī m.","wind","Noun: 2nd Declension","Air and Fire","269"
"verbum -ī n.","word","Noun: 2nd Declension","Writing/Poetry","188"
"vērē","truly","Adverb","Speech/Oratory","983"
"vereor verērī veritus sum","fear, stand in awe of","Verb: Deponent","Emotions","884"
"vērō","in fact, certainly, without doubt","Adverb","Conjunctions/Adverbs","280"
"vertō vertere vertī versum","turn","Verb: 3rd Conjugation -ō","Motion","288"
"vērus -a -um","true","Adjective: 1st and 2nd Declension","Speech/Oratory","410"
"vester vestra vestrum","your","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","282"
